,Event_Name,Day,Setup,Pre-Event,Event_Start,Event_End,Post-Event,Takedown,Location,Formal_Name,Exp_Head_Count,Act. Head Count,Reservation Name,Reference #,Event Type,Organization,date,Location1
2,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,AF TRACK,Alumni Field - Track,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,AF
3,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,AF TURF,Alumni Field - Turf,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,AF
4,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,HA 102,Harrington Auditorium - Main Floor,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,HA
5,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,RC COURT 1,Sports and Recreation Center - Court 1,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,RC
6,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,RC COURT 1-2,Sports and Recreation Center - Court 1 & 2 Jointly,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,RC
7,PT TRAINING,2/1/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,RC COURT 2,Sports and Recreation Center - Court 2,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,1/2/2022,RC
138,Technichords Table Sitting,2/1/2022,10:00 AM,10:00 AM,10:00 AM,3:00 PM,3:00 PM,3:00 PM,CC INDOOR TABLE (4),Campus Center - Indoor Table #4,2,,,2022-ABNXWT,Student - Table Sitting,TECHNICORDS,1/2/2022,CC
183,AXiD - Bylaw Edits Office Hours,2/1/2022,11:00 AM,11:00 AM,11:00 AM,12:00 PM,12:00 PM,12:00 PM,CC MORGAN,Campus Center 208 - Morgan Conference Room,5,,,2022-ABNXPP,Student - Meeting,ALPHA XI DELTA,1/2/2022,CC
195,ISC Ski trip tablesitting,2/1/2022,11:00 AM,11:00 AM,11:00 AM,1:00 PM,1:00 PM,1:00 PM,CC INDOOR TABLE (6),Campus Center - Indoor Table #6,2,,,2022-ABPCGX,Student - Table Sitting,INTERNATIONAL STUDENT COUNCIL,1/2/2022,CC
196,What's Poppin',2/1/2022,11:00 AM,11:00 AM,11:00 AM,1:00 PM,1:00 PM,1:00 PM,CC INDOOR TABLE (2),Campus Center - Indoor Table #2,1,,,2022-ABPBGP,Table Sitting,STUDENT ACTIVITIES OFFICE,1/2/2022,CC
200,SGA Student Survey,2/1/2022,11:00 AM,11:00 AM,11:00 AM,2:00 PM,2:00 PM,2:00 PM,CC INDOOR TABLE (1),Campus Center - Indoor Table #1,2,,,2022-ABPBLP,Student - Table Sitting,STUDENT GOVERNMENT ASSOCIATION (SGA),1/2/2022,CC
236,BOOT CAMP,2/1/2022,12:00 PM,12:00 PM,12:00 PM,1:00 PM,1:00 PM,1:00 PM,RC DANCE,Sports and Recreation Center  428/430/433 - Dance Studio A/B/C Jointly,3,,,2022-ABNXAL,Athletic - Receational Activity,"PHYS ED, ATHLETICS, & RECREATION",1/2/2022,RC
237,BOOT CAMP,2/1/2022,12:00 PM,12:00 PM,12:00 PM,1:00 PM,1:00 PM,1:00 PM,RC DANCE A,Sports and Recreation Center 428 - Dance Studio A,3,,,2022-ABNXAL,Athletic - Receational Activity,"PHYS ED, ATHLETICS, & RECREATION",1/2/2022,RC
238,BOOT CAMP,2/1/2022,12:00 PM,12:00 PM,12:00 PM,1:00 PM,1:00 PM,1:00 PM,RC DANCE A-B,Sports and Recreation Center 428/430 - Dance Sudio A&B Jointly,3,,,2022-ABNXAL,Athletic - Receational Activity,"PHYS ED, ATHLETICS, & RECREATION",1/2/2022,RC
239,BOOT CAMP,2/1/2022,12:00 PM,12:00 PM,12:00 PM,1:00 PM,1:00 PM,1:00 PM,RC DANCE B,Sports and Recreation Center 430 - Dance Sudio B,3,,,2022-ABNXAL,Athletic - Receational Activity,"PHYS ED, ATHLETICS, & RECREATION",1/2/2022,RC
240,BOOT CAMP,2/1/2022,12:00 PM,12:00 PM,12:00 PM,1:00 PM,1:00 PM,1:00 PM,RC DANCE B-C,Sports and Recreation Center 430/433 - Dance Sudio B&C Jointly,3,,,2022-ABNXAL,Athletic - Receational Activity,"PHYS ED, ATHLETICS, & RECREATION",1/2/2022,RC
241,BOOT CAMP,2/1/2022,12:00 PM,12:00 PM,12:00 PM,1:00 PM,1:00 PM,1:00 PM,RC DANCE C,Sports and Recreation Center 433 - Dance Studio C,3,,,2022-ABNXAL,Athletic - Receational Activity,"PHYS ED, ATHLETICS, & RECREATION",1/2/2022,RC
245,"HU 3910-C04 1st Hour, Abigail Koo",2/1/2022,12:00 PM,12:00 PM,12:00 PM,1:00 PM,1:00 PM,1:00 PM,AH B06,Alden Hall B06 - Janet Earle Room,13,0,,2022-ABNZCG,Performance/Rehearsal,HUMANITIES & ARTS,1/2/2022,AH
294,FNF Team Planning,2/1/2022,1:00 PM,1:00 PM,1:00 PM,2:00 PM,2:00 PM,2:00 PM,CC MORGAN,Campus Center 208 - Morgan Conference Room,7,,,2022-ABNXJJ,Student - Meeting,CHRISTIAN BIBLE FELLOWSHIP,1/2/2022,CC
297,SAS Engagement Tribe,2/1/2022,1:00 PM,1:00 PM,1:00 PM,2:00 PM,2:00 PM,2:00 PM,CC CHAIR'S,Campus Center 129 - Chair's Conference Room,6,,,2022-ABPAVM,Student - Meeting,STUDENT ALUMNI SOCIETY,1/2/2022,CC
317,Cheer exec and mental health check ins,2/1/2022,1:00 PM,1:00 PM,1:00 PM,4:00 PM,4:00 PM,4:00 PM,CC MID-CENTURY,Campus Center 331 - Mid-Century Room,18,,,2022-ABPARZ,Student - Meeting,CHEERLEADING TEAM,1/2/2022,CC
318,Off Campus Trip - Ice Skating,2/1/2022,1:00 PM,1:00 PM,1:00 PM,4:00 PM,4:00 PM,4:00 PM,CC INDOOR TABLE (5),Campus Center - Indoor Table #5,0,,,2022-ABNXAZ,Student - Table Sitting,SOCCOMM,1/2/2022,CC
381,WPI Discrete Mathematics Seminar,2/1/2022,3:00 PM,3:00 PM,3:00 PM,3:50 PM,3:50 PM,3:50 PM,SL 011,Salisbury Labs 011 - Classroom,12,,,2021-ABNVQW,Seminar/Colloquium,MATHEMATICAL SCIENCES DEPARTMENT,1/2/2022,SL
383,Math Study Session,2/1/2022,3:00 PM,3:00 PM,3:00 PM,4:00 PM,4:00 PM,4:00 PM,UH 520,UH 520 - Unity Hall Classroom,10,,,2022-ABNZHR,Student - Study Session/Review,MORGAN TEACHING & LEARNING CENTER,1/2/2022,UH
420,Active Minds Exec Meeting,2/1/2022,4:00 PM,4:00 PM,4:00 PM,4:30 PM,4:30 PM,4:30 PM,SL 011,Salisbury Labs 011 - Classroom,5,,,2022-ABNWBX,Student - Meeting,ACTIVE MINDS,1/2/2022,SL
434,Algebra Study Session,2/1/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,SH 308,Stratton Hall 308 - Classroom,10,,,2022-ABPASC,Student - Study Session/Review,MORGAN TEACHING & LEARNING CENTER,1/2/2022,SH
435,Alpha Phi Omega Knitting Service,2/1/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,OH 109,Olin Hall 109 - Classroom,15,,,2022-ABPCBH,Student - Meeting,ALPHA PHI OMEGA,1/2/2022,OH
436,AXiD - DEI Activity,2/1/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,SL 305,Salisbury Labs 305 - Classroom,20,,,2022-ABNWPH,Student - Meeting,ALPHA XI DELTA,1/2/2022,SL
438,Once a Upon a Post-Mortem,2/1/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,CC CHAIR'S,Campus Center 129 - Chair's Conference Room,15,,,2022-ABPCJG,Student - Meeting,VOX,1/2/2022,CC
439,OPEN RECREATION VOLLEYBALL,2/1/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,RC COURT 1,Sports and Recreation Center - Court 1,7,0,,2022-ABNZNS,Athletic - Receational Activity,VOLLEYBALL (WOMEN),1/2/2022,RC
443,VegClub GBM,2/1/2022,4:00 PM,4:00 PM,4:00 PM,5:00 PM,5:00 PM,5:00 PM,SL 407,Salisbury Labs 407 - Classroom,31,,,2022-ABNZRH,Student - Meeting,VEGETARIAN CLUB,1/2/2022,SL
453,CONCERT BAND/ORCHESTRA REHEARSALS,2/1/2022,4:00 PM,4:00 PM,4:00 PM,8:00 PM,8:00 PM,8:00 PM,AH GH,Alden Hall 108 - Great Hall,80,0,,2021-ABNKNA,Student - Performance/Rehearsal,HUMANITIES & ARTS,1/2/2022,AH
454,American Chemical Society GBM,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,SL 104,Salisbury Labs 104 - Classroom,45,,,2022-ABPALJ,Student - Meeting,AMERICAN CHEMICAL SOCIETY,1/2/2022,SL
455,Ballroom Officer Meeting,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,SL 011,Salisbury Labs 011 - Classroom,20,,,2021-ABNTSM,Student - Meeting,BALLROOM DANCE TEAM,1/2/2022,SL
456,FITNESS CLUB: YOGA,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE,Sports and Recreation Center  428/430/433 - Dance Studio A/B/C Jointly,40,0,,2021-ABNSXN,Athletic - Club Sport Practice,FITNESS CLUB,1/2/2022,RC
457,FITNESS CLUB: YOGA,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE A,Sports and Recreation Center 428 - Dance Studio A,40,0,,2021-ABNSXN,Athletic - Club Sport Practice,FITNESS CLUB,1/2/2022,RC
458,FITNESS CLUB: YOGA,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE A-B,Sports and Recreation Center 428/430 - Dance Sudio A&B Jointly,40,0,,2021-ABNSXN,Athletic - Club Sport Practice,FITNESS CLUB,1/2/2022,RC
459,FITNESS CLUB: YOGA,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE B,Sports and Recreation Center 430 - Dance Sudio B,40,0,,2021-ABNSXN,Athletic - Club Sport Practice,FITNESS CLUB,1/2/2022,RC
460,FITNESS CLUB: YOGA,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE B-C,Sports and Recreation Center 430/433 - Dance Sudio B&C Jointly,40,0,,2021-ABNSXN,Athletic - Club Sport Practice,FITNESS CLUB,1/2/2022,RC
461,FITNESS CLUB: YOGA,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RC DANCE C,Sports and Recreation Center 433 - Dance Studio C,40,0,,2021-ABNSXN,Athletic - Club Sport Practice,FITNESS CLUB,1/2/2022,RC
462,Formula SAE officer meeting,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,IS 1965 CONFERENCE ROOM,"IS 207, Innovation Studio - 1965 Conference Room",10,,,2022-ABNWPT,Student - Study Session/Review,SOCIETY OF AUTOMOTIVE ENG (SAE),1/2/2022,IS
463,HPRC Rocketry Recovery,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,HL 154,Higgins Labs 154 - Classroom,20,,,2022-ABNXHQ,Student - Meeting,AMER INST OF AERONTCS & ASTRONTCS,1/2/2022,HL
465,LNL TEC meeting,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,UH 420,UH 420 - Unity Hall Classroom,20,,,2022-ABPALP,Student - Meeting,LENS & LIGHTS,1/2/2022,UH
467,Newman Club Weekday Mass,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,RILEY COMMONS,Riley Commons,15,0,,2021-ABNSAV,Student - Meeting,NEWMAN CLUB,1/2/2022,RILEY
468,Photo Club C-term GBM,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,IS 105,Innovation Studio 105,20,,,2022-ABNWWN,Student - Meeting,PHOTOGRAPHY CLUB,1/2/2022,IS
470,SGA Exec & Cabinet,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,CC MORGAN,Campus Center 208 - Morgan Conference Room,16,,,2021-ABNTJZ,Student - Meeting,STUDENT GOVERNMENT ASSOCIATION (SGA),1/2/2022,CC
471,SHPE GBM,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,SL 402,Salisbury Labs 402 - Classroom,35,,,2022-ABNWNC,Student - Meeting,SOCIETY OF HISPANIC & PROF ENGINEERS,1/2/2022,SL
472,SHPE GBM,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,SL 407,Salisbury Labs 407 - Classroom,35,,,2022-ABNWNC,Student - Meeting,SOCIETY OF HISPANIC & PROF ENGINEERS,1/2/2022,SL
473,The Social Committee - Exec Meeting,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,CC MID-CENTURY,Campus Center 331 - Mid-Century Room,20,,,2022-ABNWJD,Student - Meeting,SOCCOMM,1/2/2022,CC
474,VSA Practice,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:00 PM,6:00 PM,6:00 PM,UH 405,UH 405 - Unity Hall Classroom,10,,,2022-ABPAVT,Student - Meeting,VIETNAMESE STUDENT ASSOCIATION,1/2/2022,UH
477,Alden Voices Officer Meeting,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:30 PM,6:30 PM,6:30 PM,SL 115,Salisbury Labs 115 - Kinnicutt Hall,15,,,2022-ABNWRJ,Student - Meeting,ALDEN VOICES,1/2/2022,SL
478,Green Team GBM,2/1/2022,5:00 PM,5:00 PM,5:00 PM,6:30 PM,6:30 PM,6:30 PM,SL 406,Salisbury Labs 406 - Classroom,20,20,,2022-ABNXTM,Student - Meeting,GREEN TEAM,1/2/2022,SL
481,Motorsports Club General Body Meeting,2/1/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,HL 116,Higgins Labs 116 -Classroom,60,,,2022-ABNWTD,Student - Study Session/Review,MOTORSPORTS CLUB,1/2/2022,HL
482,PRACTICE: M. CLUB VOLLEYBALL,2/1/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,RC COURT 2,Sports and Recreation Center - Court 2,30,,,2021-ABNVSS,Athletic - Club Sport Practice,VOLLEYBALL (MEN),1/2/2022,RC
486,Theta Nu Xi Weekly Chapter Meetings,2/1/2022,5:00 PM,5:00 PM,5:00 PM,7:00 PM,7:00 PM,7:00 PM,CC PETERSON,Campus Center 304 - Peterson Conference Room,7,,,2021-ABNWBD,Student - Meeting,THETA NU XI,1/2/2022,CC
487,Late Night Programming,2/1/2022,5:00 PM,5:00 PM,5:00 PM,11:30 PM,11:30 PM,11:30 PM,CC ODEUM A,Campus Center 341 - Odeum A,200,0,,2022-ABPBCT,Presentation,STUDENT ACTIVITIES OFFICE,1/2/2022,CC
488,Late Night Programming,2/1/2022,5:00 PM,5:00 PM,5:00 PM,11:30 PM,11:30 PM,11:30 PM,CC ODEUM A & B,Campus Center 341 / 342 - Odeum A & B Jointly,200,0,,2022-ABPBCT,Presentation,STUDENT ACTIVITIES OFFICE,1/2/2022,CC
489,Late Night Programming,2/1/2022,5:00 PM,5:00 PM,5:00 PM,11:30 PM,11:30 PM,11:30 PM,CC ODEUM B,Campus Center 342 - Odeum B,200,0,,2022-ABPBCT,Presentation,STUDENT ACTIVITIES OFFICE,1/2/2022,CC
493,SGA Senate,2/1/2022,5:30 PM,5:30 PM,5:30 PM,8:30 PM,8:30 PM,8:30 PM,IS 203,Innovation Studio 203,50,,,2021-ABNTJW,Student - Meeting,STUDENT GOVERNMENT ASSOCIATION (SGA),1/2/2022,IS
494,SGA Senate,2/1/2022,5:30 PM,5:30 PM,5:30 PM,8:30 PM,8:30 PM,8:30 PM,IS 205,Innovation Studio 205,50,,,2021-ABNTJW,Student - Meeting,STUDENT GOVERNMENT ASSOCIATION (SGA),1/2/2022,IS
495,AIAA GBM,2/1/2022,6:00 PM,6:00 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,AK 116,Atwater Kent 116 - Newell Hall,50,,,2022-ABNXHP,Student - Meeting,AMER INST OF AERONTCS & ASTRONTCS,1/2/2022,AK
496,Alpha Phi Omega Pledge Meeting,2/1/2022,6:00 PM,6:00 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,IS 105,Innovation Studio 105,20,,,2022-ABNXKH,Student - Meeting,ALPHA PHI OMEGA,1/2/2022,IS
497,ASME GBM,2/1/2022,6:00 PM,6:00 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,HL 154,Higgins Labs 154 - Classroom,30,,,2022-ABNWRQ,Student - Meeting,ASME,1/2/2022,HL
498,CTC General Body Meeting,2/1/2022,6:00 PM,6:00 PM,6:00 PM,7:00 PM,7:00 PM,7:00 PM,UH 405,UH 405 - Unity Hall Classroom,15,0,,2022-ABNXST,Student - Meeting,COMPUTER AND TECHNOLOGY CLUB,1/2/2022,UH
499,PRACTICE: SOMA,2/1/2022,6:00 PM,6:00 PM,6:00 PM,7:30 PM,7:30 PM,7:30 PM,RC DANCE A,Sports and Recreation Center 428 - Dance Studio A,40,0,,2021-ABNTQV,Athletic - Club Sport Practice,SOCIETY OF MARTIAL ARTS (SOMA),1/2/2022,RC
500,PRACTICE: SOMA,2/1/2022,6:00 PM,6:00 PM,6:00 PM,7:30 PM,7:30 PM,7:30 PM,RC DANCE A-B,Sports and Recreation Center 428/430 - Dance Sudio A&B Jointly,40,0,,2021-ABNTQV,Athletic - Club Sport Practice,SOCIETY OF MARTIAL ARTS (SOMA),1/2/2022,RC
501,PRACTICE: SOMA,2/1/2022,6:00 PM,6:00 PM,6:00 PM,7:30 PM,7:30 PM,7:30 PM,RC DANCE B,Sports and Recreation Center 430 - Dance Sudio B,40,0,,2021-ABNTQV,Athletic - Club Sport Practice,SOCIETY OF MARTIAL ARTS (SOMA),1/2/2022,RC
502,HPRC Electrical & Software Meeting,2/1/2022,6:00 PM,6:00 PM,6:00 PM,8:00 PM,8:00 PM,8:00 PM,HL 218,Higgins Labs 218 - Discovery Classroom,30,,,2022-ABNXGZ,Student - Meeting,AMER INST OF AERONTCS & ASTRONTCS,1/2/2022,HL
504,Women Empowerment Social Chi O X AXiD,2/1/2022,6:00 PM,6:00 PM,6:00 PM,8:00 PM,8:00 PM,8:00 PM,SL 402,Salisbury Labs 402 - Classroom,50,,,2022-ABNXFH,Student - Meeting,CHI OMEGA,1/2/2022,SL
506,{EmptySet} Rehearsal,2/1/2022,6:00 PM,6:00 PM,6:00 PM,8:00 PM,8:00 PM,8:00 PM,FL PH-LWR,Fuller Labs - Perreault Hall - Lower Section,11,,,2022-ABNXZD,Student - Meeting,STUDENT COMEDY PRODUCTIONS,1/2/2022,FL
513,Alpha Phi Omega General Meeting,2/1/2022,6:00 PM,6:00 PM,6:00 PM,11:00 PM,11:00 PM,11:00 PM,OH 107,Olin Hall 107 - Lecture Hall,75,,,2022-ABNWCJ,Student - Meeting,ALPHA PHI OMEGA,1/2/2022,OH
518,Sigma Pi Executive meeting,2/1/2022,6:30 PM,6:30 PM,6:30 PM,9:00 PM,9:00 PM,9:00 PM,UH 343,UH 343 - Unity Hall Conference Room,6,,,2022-ABPCQT,Student - Meeting,SIGMA PI,1/2/2022,UH
522,OMA Fireside Chats,2/1/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,OASIS HOUSE - ALL SPACES,Oasis House - All Spaces,20,,,2022-ABPAAM,Meeting,MULTICULTURAL AFFAIRS,1/2/2022,OASIS
523,OMA Fireside Chats,2/1/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,OASIS HOUSE - KITCHEN,Oasis House - Kitchen,20,,,2022-ABPAAM,Meeting,MULTICULTURAL AFFAIRS,1/2/2022,OASIS
524,OMA Fireside Chats,2/1/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,OASIS HOUSE - YARD,Oasis House - Yard (no Grill),20,,,2022-ABPAAM,Meeting,MULTICULTURAL AFFAIRS,1/2/2022,OASIS
525,Phi Sig ECouncil Meeting,2/1/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,SL 305,Salisbury Labs 305 - Classroom,40,,,2022-ABNWPK,Student - Meeting,PHI SIGMA SIGMA,1/2/2022,SL
526,Phi Sig ECouncil Meeting,2/1/2022,7:00 PM,7:00 PM,7:00 PM,8:00 PM,8:00 PM,8:00 PM,SL 411,Salisbury Labs 411 - Classroom,40,,,2021-ABNVKP,Student - Meeting,PHI SIGMA SIGMA,1/2/2022,SL
529,VOX GBM,2/1/2022,7:00 PM,7:00 PM,7:00 PM,9:00 PM,9:00 PM,9:00 PM,SL 104,Salisbury Labs 104 - Classroom,35,,,2021-ABNGNQ,Student - Meeting,VOX,1/2/2022,SL
530,WPI EMS Meeting,2/1/2022,7:00 PM,7:00 PM,7:00 PM,9:00 PM,9:00 PM,9:00 PM,SL 115,Salisbury Labs 115 - Kinnicutt Hall,30,,,2021-ABNWAK,Student - Meeting,EMERGENCY MEDCL SERV (EMS),1/2/2022,SL
534,INTRAMURALS: BASKETBALL,2/1/2022,7:00 PM,7:00 PM,7:00 PM,11:00 PM,11:00 PM,11:00 PM,RC COURT 1,Sports and Recreation Center - Court 1,60,0,,2021-ABMMKV,Athletic - Intramurals,"PHYS ED, ATHLETICS, & RECREATION",1/2/2022,RC
535,INTRAMURALS: BASKETBALL,2/1/2022,7:00 PM,7:00 PM,7:00 PM,11:00 PM,11:00 PM,11:00 PM,RC COURT 1-2,Sports and Recreation Center - Court 1 & 2 Jointly,60,0,,2021-ABMMKV,Athletic - Intramurals,"PHYS ED, ATHLETICS, & RECREATION",1/2/2022,RC
536,INTRAMURALS: BASKETBALL,2/1/2022,7:00 PM,7:00 PM,7:00 PM,11:00 PM,11:00 PM,11:00 PM,RC COURT 2,Sports and Recreation Center - Court 2,60,0,,2021-ABMMKV,Athletic - Intramurals,"PHYS ED, ATHLETICS, & RECREATION",1/2/2022,RC
537,Alpha Xi Delta Exec,2/1/2022,7:00 PM,7:00 PM,7:00 PM,11:30 PM,11:30 PM,11:30 PM,CC MORGAN,Campus Center 208 - Morgan Conference Room,9,,,2021-ABNVWJ,Student - Meeting,ALPHA XI DELTA,1/2/2022,CC
545,Prayer Night,2/1/2022,7:30 PM,8:00 PM,8:00 PM,9:00 PM,9:00 PM,9:00 PM,HL 114,Higgins Labs 114 - Classroom,9,,,2021-ABNWBC,Student - Study Session/Review,CHRISTIAN BIBLE FELLOWSHIP,1/2/2022,HL
546,ROBOTICS: VEXU,2/1/2022,7:30 PM,7:30 PM,7:30 PM,11:00 PM,11:00 PM,11:00 PM,RC ROBOT,Sports and Recreation Center 250 - Robotic Pit Area,10,,,2021-ABNNQK,Student - Meeting,ROBOTICS CLUB,1/2/2022,RC
547,KilroySketchComedy GBM,2/1/2022,8:00 PM,8:00 PM,8:00 PM,9:00 PM,9:00 PM,9:00 PM,SL 105,Salisbury Labs 105 - Classroom,15,,,2022-ABNXZG,Student - Meeting,KILROY SKETCH COMEDY,1/2/2022,SL
548,Phi Sig EBoard Meeting,2/1/2022,8:00 PM,8:00 PM,8:00 PM,10:00 PM,10:00 PM,10:00 PM,IS 1965 CONFERENCE ROOM,"IS 207, Innovation Studio - 1965 Conference Room",12,,,2022-ABNWPL,Student - Meeting,PHI SIGMA SIGMA,1/2/2022,IS
549,Tuesday Night Trivia,2/1/2022,8:00 PM,8:00 PM,8:00 PM,10:00 PM,10:00 PM,10:00 PM,CC STAGE,Campus Center - Forkey Commons,25,25,,2022-ABNWXX,Competition,CAMPUS CENTER OFFICE,1/2/2022,CC
550,FCA Weekly Huddle,2/1/2022,8:30 PM,8:30 PM,8:30 PM,9:30 PM,9:30 PM,9:30 PM,UH 405,UH 405 - Unity Hall Classroom,25,,,2022-ABNZVT,Student - Meeting,FELLOWSHIP OF CHRISTIAN ATHLETES,1/2/2022,UH
551,PRACTICE: DANCE TEAM,2/1/2022,8:30 PM,8:30 PM,8:30 PM,10:00 PM,10:00 PM,10:00 PM,RC DANCE,Sports and Recreation Center  428/430/433 - Dance Studio A/B/C Jointly,30,0,,2021-ABNTQC,Athletic - Club Sport Practice,DANCE TEAM,1/2/2022,RC
552,PRACTICE: DANCE TEAM,2/1/2022,8:30 PM,8:30 PM,8:30 PM,10:00 PM,10:00 PM,10:00 PM,RC DANCE A,Sports and Recreation Center 428 - Dance Studio A,30,0,,2021-ABNTQC,Athletic - Club Sport Practice,DANCE TEAM,1/2/2022,RC
553,PRACTICE: DANCE TEAM,2/1/2022,8:30 PM,8:30 PM,8:30 PM,10:00 PM,10:00 PM,10:00 PM,RC DANCE A-B,Sports and Recreation Center 428/430 - Dance Sudio A&B Jointly,30,0,,2021-ABNTQC,Athletic - Club Sport Practice,DANCE TEAM,1/2/2022,RC
554,PRACTICE: DANCE TEAM,2/1/2022,8:30 PM,8:30 PM,8:30 PM,10:00 PM,10:00 PM,10:00 PM,RC DANCE B,Sports and Recreation Center 430 - Dance Sudio B,30,0,,2021-ABNTQC,Athletic - Club Sport Practice,DANCE TEAM,1/2/2022,RC
555,PRACTICE: DANCE TEAM,2/1/2022,8:30 PM,8:30 PM,8:30 PM,10:00 PM,10:00 PM,10:00 PM,RC DANCE B-C,Sports and Recreation Center 430/433 - Dance Sudio B&C Jointly,30,0,,2021-ABNTQC,Athletic - Club Sport Practice,DANCE TEAM,1/2/2022,RC
556,PRACTICE: DANCE TEAM,2/1/2022,8:30 PM,8:30 PM,8:30 PM,10:00 PM,10:00 PM,10:00 PM,RC DANCE C,Sports and Recreation Center 433 - Dance Studio C,30,0,,2021-ABNTQC,Athletic - Club Sport Practice,DANCE TEAM,1/2/2022,RC
557,PRACTICE: BADMINTON,2/1/2022,9:00 PM,9:00 PM,9:00 PM,10:45 PM,10:45 PM,10:45 PM,HA 102,Harrington Auditorium - Main Floor,60,0,,2021-ABNTJJ,Athletic - Club Sport Practice,BADMINTON CLUB,1/2/2022,HA
560,PT TRAINING,2/2/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,AF TRACK,Alumni Field - Track,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,2/2/2022,AF
561,PT TRAINING,2/2/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,AF TURF,Alumni Field - Turf,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,2/2/2022,AF
562,PT TRAINING,2/2/2022,6:00 AM,6:00 AM,6:00 AM,7:30 AM,7:30 AM,7:30 AM,HA 102,Harrington Auditorium - Main Floor,75,0,,2021-ABMMNF,Student - Training/Workshop,ARMY ROTC,2/2/2022,HA
